"Date","Time","Time zone","Name","Type","Status","Currency","Amount","Fees","Total","Exchange Rate","Receipt ID","Balance","Transaction ID","Item Title"
"29/06/2025","10:22:25","AEST","","General Credit Card Deposit","Completed","AUD","19.99","0.00","19.99",,"","0.00","4A689341YX1446313",""
"29/06/2025","10:22:25","AEST","Jagex Limited","General Authorisation","Completed","AUD","-19.99","0.00","-19.99",,"","0.00","5MR59823EX919305S",""
"05/07/2025","21:12:44","AEST","Trainer Road LLC","Pre-approved Payment Bill User Payment","Completed","USD","-21.99","0.00","-21.99",,"","-21.99","8T874964L16396458",""
"05/07/2025","21:12:44","AEST","","General Credit Card Deposit","Completed","AUD","35.02","0.00","35.02",,"","35.02","0E307778FM5181319",""
"05/07/2025","21:12:44","AEST","","General Currency Conversion","Completed","AUD","-35.02","0.00","-35.02",0.627940107361674,"","0.00","53B94149M4379630L",""
"05/07/2025","21:12:44","AEST","","General Currency Conversion","Completed","USD","21.99","0.00","21.99",,"","0.00","25C68137CA7774002",""
"12/07/2025","06:41:46","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-29.99","0.00","-29.99",,"","-29.99","4B265239A0320115J",""
"12/07/2025","06:41:46","AEST","","General Credit Card Deposit","Completed","AUD","29.99","0.00","29.99",,"","0.00","1SU08706UV238264M",""
"17/07/2025","10:37:17","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-4.49","0.00","-4.49",,"","-4.49","1XF2654071257783C",""
"17/07/2025","10:37:17","AEST","","General Credit Card Deposit","Completed","AUD","4.49","0.00","4.49",,"","0.00","55H85456MT639741E",""
"18/07/2025","02:25:04","AEST","ALDImobile","Pre-approved Payment Bill User Payment","Completed","AUD","-28.00","0.00","-28.00",,"","-28.00","3HR739943J9639207",""
"18/07/2025","02:25:04","AEST","","General Credit Card Deposit","Completed","AUD","28.00","0.00","28.00",,"","0.00","8B599658X9044802B",""
"23/07/2025","18:22:32","AEST","Jagex Limited","General Authorisation","Pending","AUD","-19.99","0.00","-19.99",,"","0.00","59D316272N1020240",""
"23/07/2025","18:22:37","AEST","Jagex Limited","Pre-approved Payment Bill User Payment","Completed","AUD","-19.99","0.00","-19.99",,"","-19.99","8UM10888KB7695300",""
"23/07/2025","18:22:37","AEST","","General Credit Card Deposit","Completed","AUD","19.99","0.00","19.99",,"","0.00","5C154752TK311792Y",""
"23/07/2025","18:22:37","AEST","Jagex Limited","General Authorisation","Completed","AUD","-19.99","0.00","-19.99",,"","0.00","59D316272N1020240",""
"24/07/2025","05:08:48","AEST","Strava Inc","General Authorisation","Pending","AUD","-99.99","0.00","-99.99",,"","0.00","88A29204M23670739",""
"24/07/2025","05:09:08","AEST","Strava Inc","Pre-approved Payment Bill User Payment","Completed","AUD","-99.99","0.00","-99.99",,"","-99.99","9JD940384Y8846220",""
"24/07/2025","05:09:08","AEST","","General Credit Card Deposit","Completed","AUD","99.99","0.00","99.99",,"","0.00","6N9508848G444780D",""
